Epoch,Loss,Time
1,0.9460,0.0050
2,0.9163,0.0150
3,0.9041,0.0260
4,0.9001,0.0380
5,0.8972,0.0490
6,0.8920,0.0570
7,0.8837,0.0660
8,0.8728,0.0740
9,0.8604,0.0820
10,0.8478,0.0900
11,0.8361,0.0980
12,0.8260,0.1060
13,0.8176,0.1140
14,0.8107,0.1220
15,0.8044,0.1300
16,0.7980,0.1380
17,0.7909,0.1460
18,0.7830,0.1540
19,0.7746,0.1620
20,0.7661,0.1690
21,0.7579,0.1770
22,0.7504,0.1850
23,0.7435,0.1930
24,0.7373,0.2010
25,0.7314,0.2090
26,0.7256,0.2170
27,0.7197,0.2270
28,0.7138,0.2360
29,0.7077,0.2460
30,0.7017,0.2580
31,0.6959,0.2680
32,0.6904,0.2760
33,0.6852,0.2840
34,0.6803,0.2920
35,0.6756,0.3000
36,0.6709,0.3070
37,0.6663,0.3150
38,0.6617,0.3230
39,0.6571,0.3320
40,0.6526,0.3390
41,0.6482,0.3480
42,0.6440,0.3560
43,0.6399,0.3640
44,0.6360,0.3720
45,0.6321,0.3800
46,0.6284,0.3880
47,0.6246,0.3960
48,0.6210,0.4050
49,0.6173,0.4160
50,0.6138,0.4240
51,0.6103,0.4320
52,0.6069,0.4400
53,0.6036,0.4480
54,0.6004,0.4560
55,0.5972,0.4640
56,0.5940,0.4720
57,0.5909,0.4800
58,0.5879,0.4880
59,0.5849,0.4960
60,0.5819,0.5050
61,0.5790,0.5130
62,0.5762,0.5210
63,0.5734,0.5300
64,0.5706,0.5380
65,0.5679,0.5460
66,0.5652,0.5540
67,0.5625,0.5620
68,0.5599,0.5700
69,0.5573,0.5780
70,0.5548,0.5870
71,0.5523,0.5950
72,0.5498,0.6030
73,0.5473,0.6110
74,0.5449,0.6190
75,0.5425,0.6280
76,0.5402,0.6360
77,0.5378,0.6440
78,0.5355,0.6520
79,0.5333,0.6600
80,0.5310,0.6690
81,0.5288,0.6770
82,0.5266,0.6850
83,0.5244,0.6930
84,0.5222,0.7020
85,0.5201,0.7100
86,0.5180,0.7180
87,0.5159,0.7270
88,0.5138,0.7360
89,0.5118,0.7440
90,0.5097,0.7530
91,0.5077,0.7610
92,0.5057,0.7700
93,0.5038,0.7780
94,0.5018,0.7870
95,0.4999,0.7960
96,0.4980,0.8040
97,0.4961,0.8130
98,0.4942,0.8220
99,0.4923,0.8300
100,0.4905,0.8390
101,0.4886,0.8470
102,0.4868,0.8560
103,0.4850,0.8660
104,0.4832,0.8760
105,0.4814,0.8860
106,0.4797,0.8950
107,0.4779,0.9040
108,0.4762,0.9130
109,0.4745,0.9220
110,0.4727,0.9310
111,0.4711,0.9400
112,0.4694,0.9500
113,0.4677,0.9590
114,0.4660,0.9680
115,0.4644,0.9780
116,0.4628,0.9870
117,0.4611,0.9960
118,0.4595,1.0050
119,0.4579,1.0140
120,0.4563,1.0240
121,0.4548,1.0330
122,0.4532,1.0460
123,0.4516,1.0580
124,0.4501,1.0670
125,0.4486,1.0760
126,0.4470,1.0850
127,0.4455,1.0940
128,0.4440,1.1030
129,0.4425,1.1130
130,0.4410,1.1220
131,0.4395,1.1310
132,0.4381,1.1410
133,0.4366,1.1500
134,0.4352,1.1590
135,0.4337,1.1680
136,0.4323,1.1770
137,0.4308,1.1860
138,0.4294,1.1960
139,0.4280,1.2050
140,0.4266,1.2140
141,0.4252,1.2230
142,0.4238,1.2320
143,0.4225,1.2420
144,0.4211,1.2510
145,0.4197,1.2630
146,0.4184,1.2770
147,0.4170,1.2880
148,0.4157,1.2970
149,0.4143,1.3080
150,0.4130,1.3180
