Epoch,Loss,Time
1,0.9927,0.0040
2,0.9859,0.0120
3,0.9796,0.0200
4,0.9736,0.0280
5,0.9681,0.0360
6,0.9629,0.0440
7,0.9581,0.0520
8,0.9536,0.0590
9,0.9493,0.0670
10,0.9454,0.0750
11,0.9417,0.0830
12,0.9383,0.0910
13,0.9351,0.0990
14,0.9321,0.1070
15,0.9293,0.1150
16,0.9266,0.1220
17,0.9242,0.1300
18,0.9218,0.1380
19,0.9197,0.1460
20,0.9176,0.1540
21,0.9157,0.1610
22,0.9139,0.1700
23,0.9121,0.1770
24,0.9105,0.1850
25,0.9090,0.1930
26,0.9075,0.2000
27,0.9061,0.2080
28,0.9048,0.2160
29,0.9035,0.2230
30,0.9023,0.2310
31,0.9012,0.2390
32,0.9001,0.2460
33,0.8990,0.2540
34,0.8980,0.2620
35,0.8970,0.2690
36,0.8961,0.2770
37,0.8952,0.2850
38,0.8943,0.2920
39,0.8934,0.3000
40,0.8926,0.3080
41,0.8918,0.3150
42,0.8911,0.3230
43,0.8903,0.3310
44,0.8896,0.3390
45,0.8889,0.3460
46,0.8882,0.3540
47,0.8875,0.3620
48,0.8868,0.3700
49,0.8862,0.3780
50,0.8855,0.3860
51,0.8849,0.3940
52,0.8843,0.4020
53,0.8837,0.4100
54,0.8831,0.4180
55,0.8825,0.4280
56,0.8819,0.4370
57,0.8813,0.4450
58,0.8808,0.4540
59,0.8802,0.4610
60,0.8797,0.4690
61,0.8791,0.4770
62,0.8786,0.4850
63,0.8780,0.4930
64,0.8775,0.5010
65,0.8770,0.5080
66,0.8765,0.5160
67,0.8759,0.5240
68,0.8754,0.5320
69,0.8749,0.5400
70,0.8744,0.5480
71,0.8739,0.5550
72,0.8734,0.5650
73,0.8729,0.5730
74,0.8724,0.5810
75,0.8719,0.5890
76,0.8715,0.5960
77,0.8710,0.6040
78,0.8705,0.6120
79,0.8700,0.6200
80,0.8695,0.6280
81,0.8691,0.6360
82,0.8686,0.6440
83,0.8681,0.6520
84,0.8676,0.6590
85,0.8672,0.6670
86,0.8667,0.6750
87,0.8662,0.6830
88,0.8658,0.6910
89,0.8653,0.6990
90,0.8649,0.7060
91,0.8644,0.7140
92,0.8640,0.7220
93,0.8635,0.7300
94,0.8630,0.7380
95,0.8626,0.7450
96,0.8621,0.7530
97,0.8617,0.7610
98,0.8612,0.7680
99,0.8608,0.7760
100,0.8603,0.7840
101,0.8599,0.7920
102,0.8595,0.7990
103,0.8590,0.8070
104,0.8586,0.8150
105,0.8581,0.8220
106,0.8577,0.8300
107,0.8573,0.8380
108,0.8568,0.8450
109,0.8564,0.8530
110,0.8559,0.8610
111,0.8555,0.8690
112,0.8551,0.8770
113,0.8547,0.8850
114,0.8542,0.8930
115,0.8538,0.9000
116,0.8534,0.9090
117,0.8529,0.9170
118,0.8525,0.9250
119,0.8521,0.9330
120,0.8517,0.9410
121,0.8512,0.9490
122,0.8508,0.9570
123,0.8504,0.9640
124,0.8500,0.9730
125,0.8495,0.9810
126,0.8491,0.9890
127,0.8487,0.9960
128,0.8483,1.0040
129,0.8479,1.0120
130,0.8475,1.0200
131,0.8470,1.0280
132,0.8466,1.0360
133,0.8462,1.0440
134,0.8458,1.0520
135,0.8454,1.0590
136,0.8450,1.0670
137,0.8446,1.0750
138,0.8442,1.0830
139,0.8437,1.0910
140,0.8433,1.0990
141,0.8429,1.1070
142,0.8425,1.1150
143,0.8421,1.1230
144,0.8417,1.1310
145,0.8413,1.1380
146,0.8409,1.1460
147,0.8405,1.1540
148,0.8401,1.1610
149,0.8397,1.1690
150,0.8393,1.1770
