Epoch,Loss,Time
1,1.0263,0.0080
2,0.8751,0.0170
3,0.7554,0.0250
4,0.6760,0.0330
5,0.6229,0.0420
6,0.5848,0.0500
7,0.5557,0.0590
8,0.5322,0.0680
9,0.5123,0.0770
10,0.4947,0.0860
11,0.4790,0.0960
12,0.4647,0.1050
13,0.4516,0.1140
14,0.4396,0.1240
15,0.4284,0.1330
16,0.4181,0.1430
17,0.4084,0.1530
18,0.3993,0.1620
19,0.3907,0.1720
20,0.3826,0.1810
21,0.3748,0.1910
22,0.3675,0.2010
23,0.3605,0.2100
24,0.3538,0.2200
25,0.3473,0.2300
26,0.3412,0.2400
27,0.3352,0.2500
28,0.3295,0.2600
29,0.3241,0.2700
30,0.3188,0.2800
31,0.3136,0.2910
32,0.3087,0.3010
33,0.3039,0.3110
34,0.2993,0.3220
35,0.2949,0.3320
36,0.2905,0.3420
37,0.2863,0.3520
38,0.2823,0.3640
39,0.2783,0.3740
40,0.2745,0.3840
41,0.2708,0.3950
42,0.2672,0.4050
43,0.2636,0.4150
44,0.2602,0.4260
45,0.2569,0.4360
46,0.2537,0.4470
47,0.2505,0.4580
48,0.2475,0.4690
49,0.2445,0.4800
50,0.2416,0.4910
51,0.2387,0.5020
52,0.2360,0.5130
53,0.2333,0.5230
54,0.2306,0.5340
55,0.2280,0.5450
56,0.2255,0.5570
57,0.2231,0.5700
58,0.2207,0.5820
59,0.2183,0.5930
60,0.2160,0.6050
61,0.2138,0.6160
62,0.2116,0.6270
63,0.2094,0.6380
64,0.2073,0.6500
65,0.2053,0.6610
66,0.2032,0.6730
67,0.2012,0.6840
68,0.1993,0.6960
69,0.1974,0.7070
70,0.1955,0.7190
71,0.1937,0.7300
72,0.1919,0.7420
73,0.1901,0.7540
74,0.1884,0.7650
75,0.1866,0.7770
76,0.1850,0.7900
77,0.1833,0.8020
78,0.1817,0.8130
79,0.1801,0.8270
80,0.1785,0.8450
81,0.1770,0.8580
82,0.1754,0.8700
83,0.1739,0.8820
84,0.1725,0.8990
85,0.1710,0.9160
86,0.1696,0.9340
87,0.1682,0.9450
88,0.1668,0.9570
89,0.1654,0.9700
90,0.1641,0.9830
91,0.1627,0.9990
92,0.1614,1.0110
93,0.1601,1.0240
94,0.1588,1.0360
95,0.1576,1.0500
96,0.1563,1.0650
97,0.1551,1.0780
98,0.1539,1.0900
99,0.1527,1.1030
100,0.1515,1.1190
101,0.1504,1.1320
102,0.1492,1.1480
103,0.1481,1.1640
104,0.1470,1.1770
105,0.1459,1.1920
106,0.1448,1.2040
107,0.1437,1.2170
108,0.1427,1.2290
109,0.1416,1.2420
110,0.1406,1.2550
111,0.1396,1.2700
112,0.1386,1.2850
113,0.1376,1.2990
114,0.1366,1.3150
115,0.1356,1.3280
116,0.1347,1.3400
117,0.1337,1.3520
118,0.1328,1.3650
119,0.1318,1.3770
120,0.1309,1.3900
121,0.1300,1.4020
122,0.1291,1.4150
123,0.1282,1.4270
124,0.1274,1.4400
125,0.1265,1.4530
126,0.1257,1.4650
127,0.1248,1.4780
128,0.1240,1.4900
129,0.1232,1.5040
130,0.1223,1.5170
131,0.1215,1.5300
132,0.1207,1.5420
133,0.1199,1.5550
134,0.1192,1.5680
135,0.1184,1.5800
136,0.1176,1.5920
137,0.1169,1.6050
138,0.1161,1.6170
139,0.1154,1.6300
140,0.1147,1.6430
141,0.1140,1.6560
142,0.1133,1.6680
143,0.1126,1.6820
144,0.1119,1.6950
145,0.1112,1.7070
146,0.1105,1.7200
147,0.1098,1.7340
148,0.1092,1.7470
149,0.1085,1.7610
150,0.1079,1.7750
